Symbol,Trade DATE,NOCP
AAPL,7/5/18,185.4
AAPL,7/3/18,183.92
AAPL,7/2/18,187.18
AAPL,6/29/18,185.11
AAPL,6/28/18,185.5
AAPL,6/27/18,184.16
AAPL,6/26/18,184.43
AAPL,6/25/18,182.17
AAPL,6/22/18,184.92
AAPL,6/21/18,185.46
AAPL,6/20/18,186.5
AAPL,6/19/18,185.69
AAPL,6/18/18,188.74
AAPL,6/15/18,188.84
AAPL,6/14/18,190.8
AAPL,6/13/18,190.7
AAPL,6/12/18,192.28
AAPL,6/11/18,191.23
AAPL,6/8/18,191.7
AAPL,6/7/18,193.46
AAPL,6/6/18,193.98
AAPL,6/5/18,193.31
AAPL,6/4/18,191.83
AAPL,6/1/18,190.24
AAPL,5/31/18,186.87
AAPL,5/30/18,187.5
AAPL,5/29/18,187.9
AAPL,5/25/18,188.58
AAPL,5/24/18,188.15
AAPL,5/23/18,188.36
AAPL,5/22/18,187.16
AAPL,5/21/18,187.63
AAPL,5/18/18,186.31
AAPL,5/17/18,186.99
AAPL,5/16/18,188.18
AAPL,5/15/18,186.44
AAPL,5/14/18,188.15
AAPL,5/11/18,188.59
